"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 13, 2019","61.63","62.47","62.55","61.11","25.71M","-1.17%"
"Feb 12, 2019","62.36","63.24","63.64","61.92","27.59M","-0.34%"
"Feb 11, 2019","62.57","62.32","63.72","62.10","35.65M","2.31%"
"Feb 08, 2019","61.16","61.37","61.49","59.70","29.22M","-0.55%"
"Feb 07, 2019","61.50","62.66","62.94","60.60","32.60M","-3.06%"
"Feb 06, 2019","63.44","63.92","64.85","63.12","25.19M","-1.29%"
"Feb 05, 2019","64.27","62.50","64.49","62.45","33.71M","2.70%"
"Feb 04, 2019","62.58","62.60","63.06","60.38","36.76M","0.22%"
"Feb 01, 2019","62.44","61.08","63.22","60.70","36.42M","1.69%"
"Jan 31, 2019","61.40","60.20","62.31","58.80","62.85M","-0.57%"
"Jan 30, 2019","61.75","60.09","61.80","59.70","56.25M","3.80%"
"Jan 29, 2019","59.49","59.05","59.71","58.36","23.11M","0.35%"
"Jan 28, 2019","59.28","58.58","59.49","57.55","32.12M","-0.22%"
"Jan 25, 2019","59.41","58.88","59.70","57.91","36.29M","1.90%"
"Jan 24, 2019","58.30","56.61","58.74","55.86","40.06M","1.36%"
"Jan 23, 2019","57.52","58.50","58.90","56.34","62.65M","-3.78%"
"Jan 22, 2019","59.78","60.96","61.60","59.10","60.33M","-1.11%"
"Jan 18, 2019","60.45","64.60","65.43","59.95","120.75M","-12.97%"
"Jan 17, 2019","69.46","69.24","70.30","68.83","18.38M","0.36%"
"Jan 16, 2019","69.21","68.96","70.40","68.70","23.46M","0.46%"
"Jan 15, 2019","68.89","67.00","69.76","66.90","30.28M","3.01%"
"Jan 14, 2019","66.88","68.48","68.50","66.80","26.24M","-3.70%"
"Jan 11, 2019","69.45","68.42","69.68","67.75","25.20M","0.67%"
"Jan 10, 2019","68.99","66.88","69.08","66.36","30.28M","1.89%"
"Jan 09, 2019","67.71","67.10","68.70","66.29","27.16M","0.95%"
"Jan 08, 2019","67.07","68.39","68.80","65.40","35.04M","0.12%"
"Jan 07, 2019","66.99","64.34","67.35","63.55","37.76M","5.43%"
"Jan 04, 2019","63.54","61.20","63.60","60.55","36.97M","5.78%"
"Jan 03, 2019","60.07","61.40","61.88","59.48","34.83M","-3.14%"
"Jan 02, 2019","62.02","61.22","63.03","59.76","58.29M","-6.82%"
"Dec 31, 2018","66.56","67.56","67.84","65.05","31.51M","-0.31%"
"Dec 28, 2018","66.77","64.62","67.25","63.68","49.69M","5.60%"
"Dec 27, 2018","63.23","63.97","64.43","60.30","42.88M","-3.05%"
"Dec 26, 2018","65.22","60.00","65.39","58.82","40.82M","10.39%"
"Dec 24, 2018","59.08","62.70","62.90","59.04","27.80M","-7.62%"
"Dec 21, 2018","63.95","63.48","64.69","62.49","40.08M","1.38%"
"Dec 20, 2018","63.08","65.41","66.06","62.37","45.36M","-5.27%"
"Dec 19, 2018","66.59","67.52","69.40","65.95","41.37M","-1.22%"
"Dec 18, 2018","67.41","70.11","70.31","66.74","35.50M","-3.26%"
"Dec 17, 2018","69.68","72.40","73.14","68.78","38.37M","-4.73%"
"Dec 14, 2018","73.14","75.00","75.57","72.87","31.69M","-2.95%"
"Dec 13, 2018","75.36","74.03","75.49","73.35","36.83M","2.78%"
"Dec 12, 2018","73.32","73.88","74.38","73.03","25.14M","-0.04%"
"Dec 11, 2018","73.35","73.98","74.43","72.05","31.54M","0.44%"
"Dec 10, 2018","73.03","72.00","73.20","70.62","33.07M","2.01%"
"Dec 07, 2018","71.59","73.80","75.90","71.53","57.56M","-1.40%"
"Dec 06, 2018","72.61","71.20","73.48","70.15","39.21M","0.93%"
"Dec 04, 2018","71.94","71.21","73.74","70.40","42.31M","0.33%"
"Dec 03, 2018","71.70","72.00","73.20","70.40","41.53M","2.28%"
"Nov 30, 2018","70.10","68.37","70.32","67.65","28.14M","2.74%"
"Nov 29, 2018","68.23","69.40","69.50","67.91","15.40M","-1.93%"
"Nov 28, 2018","69.57","69.20","69.66","68.44","20.64M","1.15%"
"Nov 27, 2018","68.78","68.01","69.39","67.10","31.79M","-0.61%"
"Nov 26, 2018","69.20","65.00","69.24","65.00","39.96M","6.18%"
"Nov 23, 2018","65.17","66.87","67.50","65.11","21.01M","-3.65%"
