"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 16, 2016","4,092.75","4,021.50","4,104.75","4,021.50","320.59K","0.51%"
"Feb 15, 2016","4,071.88","4,036.13","4,091.13","4,031.63","-","0.89%"
"Feb 14, 2016","4,035.88","4,025.75","4,038.63","4,024.75","-","0.74%"
"Feb 12, 2016","4,006.25","3,963.25","4,017.50","3,953.00","307.35K","1.14%"
"Feb 11, 2016","3,961.25","3,963.00","3,985.50","3,862.25","504.87K","-0.15%"
"Feb 10, 2016","3,967.25","3,954.50","4,041.00","3,922.25","426.91K","0.58%"
"Feb 09, 2016","3,944.25","3,958.50","4,004.00","3,897.50","499.99K","-0.50%"
"Feb 08, 2016","3,964.25","4,027.25","4,046.00","3,883.00","542.37K","-1.44%"
"Feb 05, 2016","4,022.00","4,146.50","4,173.50","4,001.00","443.08K","-3.22%"
"Feb 04, 2016","4,155.75","4,169.75","4,206.50","4,113.50","383.18K","-0.38%"
"Feb 03, 2016","4,171.50","4,186.00","4,215.00","4,090.50","484.50K","-0.49%"
"Feb 02, 2016","4,192.00","4,286.50","4,287.00","4,170.75","314.73K","-2.32%"
"Feb 01, 2016","4,291.50","4,263.25","4,309.25","4,228.50","263.36K","0.67%"
"Jan 29, 2016","4,263.00","4,135.00","4,271.25","4,129.00","328.86K","2.63%"
"Jan 28, 2016","4,153.75","4,150.25","4,199.00","4,106.75","414.08K","0.65%"
"Jan 27, 2016","4,127.00","4,195.25","4,218.75","4,102.00","408.52K","-2.36%"
"Jan 26, 2016","4,226.75","4,190.00","4,243.75","4,133.00","327.22K","0.96%"
"Jan 25, 2016","4,186.75","4,247.50","4,260.00","4,179.25","287.60K","-1.43%"
"Jan 22, 2016","4,247.50","4,126.25","4,253.00","4,119.00","328.59K","2.84%"
"Jan 21, 2016","4,130.25","4,130.75","4,192.25","4,085.75","554.10K","-0.07%"
"Jan 20, 2016","4,133.00","4,141.00","4,171.50","3,983.50","628.24K","-0.28%"
"Jan 19, 2016","4,144.50","4,126.75","4,215.75","4,091.25","475.76K","0.15%"
"Jan 18, 2016","4,138.13","4,129.50","4,177.25","4,119.50","-","0.21%"
"Jan 17, 2016","4,129.63","4,127.88","4,138.38","4,107.50","-","-0.27%"
"Jan 15, 2016","4,140.75","4,255.00","4,268.75","4,075.75","567.53K","-2.74%"
"Jan 14, 2016","4,257.50","4,181.50","4,300.50","4,124.00","526.51K","1.96%"
"Jan 13, 2016","4,175.75","4,308.75","4,365.00","4,167.25","521.07K","-3.18%"
"Jan 12, 2016","4,312.75","4,272.25","4,345.75","4,236.50","417.58K","0.93%"
"Jan 11, 2016","4,273.00","4,264.25","4,304.50","4,208.75","435.58K","0.27%"
"Jan 08, 2016","4,261.50","4,298.00","4,370.00","4,255.75","480.51K","-0.65%"
"Jan 07, 2016","4,289.25","4,450.25","4,458.50","4,283.00","501.32K","-3.54%"
"Jan 06, 2016","4,446.75","4,482.00","4,487.50","4,386.00","346.78K","-0.83%"
"Jan 05, 2016","4,483.75","4,505.50","4,523.00","4,457.25","301.18K","-0.46%"
"Jan 04, 2016","4,504.50","4,592.50","4,606.75","4,429.75","368.67K","-1.81%"
"Dec 31, 2015","4,587.75","4,648.00","4,655.00","4,579.50","160.71K","-1.25%"
"Dec 30, 2015","4,646.00","4,687.25","4,695.00","4,643.50","117.43K","-0.95%"
"Dec 29, 2015","4,690.50","4,617.75","4,697.75","4,610.50","158.10K","1.66%"
"Dec 28, 2015","4,613.75","4,611.00","4,619.50","4,571.50","113.57K","0.06%"
"Dec 24, 2015","4,611.00","4,607.75","4,630.00","4,600.75","62.05K","0.09%"
"Dec 23, 2015","4,606.75","4,590.50","4,620.25","4,583.00","147.74K","0.34%"
"Dec 22, 2015","4,591.00","4,569.00","4,594.50","4,541.25","166.65K","0.61%"
"Dec 21, 2015","4,563.00","4,513.75","4,571.75","4,511.75","176.61K","-0.29%"
"Dec 18, 2015","4,576.08","4,577.00","4,597.00","4,552.50","2.27K","-0.04%"
"Dec 17, 2015","4,577.75","4,656.75","4,689.50","4,574.00","49.75K","-1.83%"
"Dec 16, 2015","4,663.00","4,607.50","4,674.50","4,580.00","71.66K","1.24%"
"Dec 15, 2015","4,606.00","4,571.50","4,639.00","4,566.75","151.20K","0.86%"
"Dec 14, 2015","4,566.50","4,534.50","4,579.50","4,477.25","156.22K","0.60%"
"Dec 11, 2015","4,539.25","4,646.25","4,659.00","4,527.50","226.52K","-2.26%"
"Dec 10, 2015","4,644.00","4,624.00","4,674.50","4,618.25","302.77K","0.61%"
"Dec 09, 2015","4,616.00","4,690.50","4,707.50","4,593.25","388.71K","-1.52%"
"Dec 08, 2015","4,687.25","4,699.75","4,709.00","4,641.25","299.29K","-0.29%"
"Dec 07, 2015","4,701.00","4,721.25","4,730.00","4,670.50","224.66K","-0.26%"
"Dec 04, 2015","4,713.25","4,616.00","4,723.25","4,603.00","305.07K","2.22%"
"Dec 03, 2015","4,611.00","4,698.75","4,730.25","4,579.00","379.53K","-1.78%"
"Dec 02, 2015","4,694.50","4,715.00","4,739.50","4,678.50","231.81K","-0.46%"
"Dec 01, 2015","4,716.25","4,678.75","4,716.75","4,676.50","228.43K","1.02%"
"Nov 30, 2015","4,668.75","4,685.50","4,700.50","4,653.50","179.77K","-0.29%"
"Nov 27, 2015","4,682.50","4,679.75","4,703.25","4,664.75","105.38K","-0.31%"
"Nov 26, 2015","4,696.88","4,679.50","4,702.88","4,678.50","-","0.42%"
"Nov 25, 2015","4,677.25","4,665.00","4,684.50","4,659.50","119.71K","0.24%"
"Nov 24, 2015","4,666.00","4,673.75","4,684.50","4,620.00","230.13K","-0.21%"
"Nov 23, 2015","4,675.75","4,689.50","4,706.75","4,653.75","163.32K","-0.29%"
"Nov 20, 2015","4,689.50","4,656.75","4,691.50","4,652.25","177.13K","0.63%"
"Nov 19, 2015","4,660.00","4,649.75","4,677.00","4,646.75","217.27K","0.16%"
"Nov 18, 2015","4,652.50","4,570.25","4,656.75","4,556.25","242.82K","1.82%"
"Nov 17, 2015","4,569.50","4,560.75","4,597.75","4,552.00","269.68K","0.21%"
